id	position_raw	position_kk	position_ru	status	source_url	review_notes
263	журналист-редактор ОО «Народная партия Казахстана»	«Қазақстан Халық партиясы» ҮЕҰ-ның журналист-редакторы	журналист-редактор ОО «Народная партия Казахстана»	APPROVED	machine:google-translate	Approved by user
264	генеральный директор частной компании «Omir Group»	«Өмір Групп» жеке компаниясының бас директоры	генеральный директор частной компании «Omir Group»	APPROVED	machine:google-translate	Approved by user
265	учитель начальных классов КГУ «Средняя школа №40»	«No40 орта мектеп» КММ бастауыш сынып мұғалімі	учитель начальных классов КГУ «Средняя школа №40»	APPROVED	machine:google-translate	Approved by user
266	вице-президент группы компаний «Шин-Лайн»	Шин-Лайн компаниялар тобының вице-президенті	вице-президент группы компаний «Шин-Лайн»	APPROVED	machine:google-translate	Approved by user
267	председатель Атырауского областного филиала ОО «Народная партия Казахстана»	«Қазақстан Халық партиясы» ҮЕҰ Атырау облыстық филиалының төрағасы	председатель Атырауского областного филиала ОО «Народная партия Казахстана»	APPROVED	machine:google-translate	Approved by user
268	исполняющий обязанности председателя Алматинского областного филиала ОО «Народная партия Казахстана»	«Қазақстан Халық партиясы» ҚБ Алматы облыстық филиалы төрағасының м.а.	исполняющий обязанности председателя Алматинского областного филиала ОО «Народная партия Казахстана»	APPROVED	machine:google-translate	Approved by user
269	руководитель центра научных исследований Министерства труда и социальной защиты населения Республики Казахстан	Қазақстан Республикасы Еңбек және халықты әлеуметтік қорғау министрлігі Ғылыми зерттеу орталығының жетекшісі	руководитель центра научных исследований Министерства труда и социальной защиты населения Республики Казахстан	APPROVED	machine:google-translate	Approved by user
270	председатель Кызылординского областного филиала ОО «Народная партия Казахстана»	төрағасы.	председатель Кызылординского областного филиала ОО «Народная партия Казахстана»	APPROVED	machine:google-translate	Approved by user
271	солист Мангистауской областной филармонии им. М. Өскінбаева	атындағы Маңғыстау облыстық филармониясының солисті. M. Oskinbaeva	солист Мангистауской областной филармонии им. М. Өскінбаева	APPROVED	machine:google-translate	Approved by user
272	учредитель ТОО «Ясли Сад Айшатай», директор и редактор ТОО «Информационное агентство «SERT-inform.kz»	"Founder of LLP ""Nursery Sad Aishatay"", Director and Editor of LLP ""Information Agency ""SERT-inform.kz"""	учредитель ТОО «Ясли Сад Айшатай», директор и редактор ТОО «Информационное агентство «SERT-inform.kz»	APPROVED	machine:google-translate	Approved by user
273	председатель филиала ОО «Народная партия Казахстана» в области Жетісу	"Chairman of the branch of the NGO ""People's Party of Kazakhstan"" in the Zhetisu region"	председатель филиала ОО «Народная партия Казахстана» в области Жетісу	APPROVED	machine:google-translate	Approved by user
274	председатель правления Алматинского городского Общества инвалидов	Алматы қалалық мүгедектер қоғамы басқармасының төрағасы	председатель правления Алматинского городского Общества инвалидов	APPROVED	machine:google-translate	Approved by user
275	председатель филиала ОО «Народная партия Казахстана» в области Абай	«Қазақстан Халық партиясы» ҚБ Абай ауданы бойынша филиалының төрағасы	председатель филиала ОО «Народная партия Казахстана» в области Абай	APPROVED	machine:google-translate	Approved by user
276	ректор АО «Казахский медицинский университет непрерывного образования»	Қазақ медицина университетінің үздіксіз білім беру университеті АҚ ректоры	ректор АО «Казахский медицинский университет непрерывного образования»	APPROVED	machine:google-translate	Approved by user
277	директор ТОО «Sadu»	Саду» ЖШС директоры	директор ТОО «Sadu»	APPROVED	machine:google-translate	Approved by user
278	руководитель Центрального аппарата ОО «Народная партия Казахстана»	"""Қазақстан Халық партиясы"" ҮЕҰ Орталық аппаратының басшысы"	руководитель Центрального аппарата ОО «Народная партия Казахстана»	APPROVED	machine:google-translate	Approved by user
279	руководитель филиала Республиканской палаты частных судебных исполнителей	Жеке сот орындаушыларының республикалық палатасы филиалының меңгерушісі	руководитель филиала Республиканской палаты частных судебных исполнителей	APPROVED	machine:google-translate	Approved by user
280	управляющий партнер адвокатской конторы «QALQAN ADVISORS»	"""QALQAN ADVISORS"" заң фирмасының басқарушы серіктесі"	управляющий партнер адвокатской конторы «QALQAN ADVISORS»	APPROVED	machine:google-translate	Approved by user
281	председатель Туркестанского областного филиала ОО «Народная партия Казахстана»	ҚХА Түркістан облыстық филиалының төрағасы	председатель Туркестанского областного филиала ОО «Народная партия Казахстана»	APPROVED	machine:google-translate	Approved by user
282	генеральный директор ТОО «Light Engineering»	Жеңіл Инжиниринг ЖШС бас директоры	генеральный директор ТОО «Light Engineering»	APPROVED	machine:google-translate	Approved by user
283	председатель Актюбинского областного филиала ОО «Народная партия Казахстана»	«Қазақстан Халық партиясы» ҮЕҰ Ақтөбе облыстық филиалының төрағасы	председатель Актюбинского областного филиала ОО «Народная партия Казахстана»	APPROVED	machine:google-translate	Approved by user
284	заместитель председателя Комитета государственных услуг Министерства искусственного интеллекта и цифрового развития Республики Казахстан	Қазақстан Республикасы Жасанды интеллект және цифрлық даму министрлігі Мемлекеттік қызметтер көрсету комитеті төрағасының орынбасары	заместитель председателя Комитета государственных услуг Министерства искусственного интеллекта и цифрового развития Республики Казахстан	APPROVED	machine:google-translate	Approved by user
285	тренер по правам лиц с инвалидностью в ОФ «Асыл Дария»	ҚР Құқық қорғау органдарына қатысты. Дария»	тренер по правам лиц с инвалидностью в ОФ «Асыл Дария»	APPROVED	machine:google-translate	Approved by user
286	председатель Западно-Казахстанского областного филиала ОО «Народная партия Казахстана»	«Қазақстан Халық партиясы» ҚБ Батыс Қазақстан облыстық филиалының төрағасы	председатель Западно-Казахстанского областного филиала ОО «Народная партия Казахстана»	APPROVED	machine:google-translate	Approved by user
287	заместитель председателя ОО «Народная партия Казахстана», председатель Карагандинского областного филиала ОО «Народная партия Казахстана» и филиала ОО «Народная партия Казахстана» в области Ұлытау	«Қазақстан Халық партиясы» ҚБ төрағасының орынбасары, «Қазақстан Халық партиясы» ҚБ Қарағанды облыстық филиалының төрағасы және «Қазақстан Халық партиясы» ҚҰП филиалының төрағасы Ұлытау облысы	заместитель председателя ОО «Народная партия Казахстана», председатель Карагандинского областного филиала ОО «Народная партия Казахстана» и филиала ОО «Народная партия Казахстана» в области Ұлытау	APPROVED	machine:google-translate	Approved by user
288	генеральный директор ТОО «Nigin Industry»	Nigin Industry ЖШС бас директоры	генеральный директор ТОО «Nigin Industry»	APPROVED	machine:google-translate	Approved by user
289	заместитель председателя правления НПП РК «Атамекен»	ҚР «Атамекен» АЭС Басқарма төрағасының орынбасары	заместитель председателя правления НПП РК «Атамекен»	APPROVED	machine:google-translate	Approved by user
290	коммерческий директор ТОО «Объединенная сырьевая компания»	Біріккен шикізат компаниясы» ЖШС коммерциялық директоры	коммерческий директор ТОО «Объединенная сырьевая компания»	APPROVED	machine:google-translate	Approved by user
291	актриса, продюсер	актриса, продюсер	актриса, продюсер	APPROVED	machine:google-translate	Approved by user
292	депутат VIII созыва Мажилиса Парламента Республики Казахстан, председатель ОО «Казахстанский отраслевой горно-металлургический профсоюз»	Қазақстан Республикасы Парламенті Мәжілісінің 8-ші шақырылымының депутаты, «Қазақстан өнеркәсіптік тау-кен металлургиялық кәсіподақ» ҚБ төрағасы	депутат VIII созыва Мажилиса Парламента Республики Казахстан, председатель ОО «Казахстанский отраслевой горно-металлургический профсоюз»	APPROVED	machine:google-translate	Approved by user
293	управляющий директор частной школы International Future School	Халықаралық болашақ мектебі жекеменшік мектебінің басқарушы директоры	управляющий директор частной школы International Future School	APPROVED	machine:google-translate	Approved by user
294	руководитель организационного отдела Центрального аппарата ОО «Народная партия Казахстана»	Қазақстан Халық партиясы ҮЕҰ Орталық аппаратының ұйымдастыру бөлімінің меңгерушісі	руководитель организационного отдела Центрального аппарата ОО «Народная партия Казахстана»	APPROVED	machine:google-translate	Approved by user
295	директор ТОО «Camrades Group»	Camrades Group ЖШС директоры	директор ТОО «Camrades Group»	APPROVED	machine:google-translate	Approved by user
296	вице-президент по БИОТ ТОО «Холдинговая компания Базис»	Базис Холдинг компаниясы ЖШС БИОТ жөніндегі вице-президенті	вице-президент по БИОТ ТОО «Холдинговая компания Базис»	APPROVED	machine:google-translate	Approved by user
297	генеральный директор ТОО «Kap Logistics»	Kap Logistics ЖШС бас директоры	генеральный директор ТОО «Kap Logistics»	APPROVED	machine:google-translate	Approved by user
298	нотариус города Алматы	Алматы қаласының нотариусы	нотариус города Алматы	APPROVED	machine:google-translate	Approved by user
299	советник директора «Государственный фонд развития молодежной политики города Алматы»	Алматы қаласының Жастар саясатын дамыту мемлекеттік қоры директорының кеңесшісі	советник директора «Государственный фонд развития молодежной политики города Алматы»	APPROVED	machine:google-translate	Approved by user
300	депутат VIII созыва Мажилиса Парламента Республики Казахстан, уполномоченный по правам социально уязвимых слоев населения при Президенте Республики Казахстан	Қазақстан Республикасы Парламенті Мәжілісінің VIII сайланған депутаты, Қазақстан Республикасы Президентінің әлеуметтік қорғалмаған топтары жанындағы уәкіл. Қазақстан	депутат VIII созыва Мажилиса Парламента Республики Казахстан, уполномоченный по правам социально уязвимых слоев населения при Президенте Республики Казахстан	APPROVED	machine:google-translate	Approved by user
301	генеральный директор Международной ассоциации «Глобальный шёлковый путь»	"""Жаһандық Жібек жолы"" халықаралық қауымдастығының бас директоры"	генеральный директор Международной ассоциации «Глобальный шёлковый путь»	APPROVED	machine:google-translate	Approved by user
302	депутат VIII созыва Мажилиса Парламента Республики Казахстан, государственный и общественный деятель	Қазақстан Республикасы Парламенті Мәжілісінің 8-ші шақырылымының депутаты, мемлекет және қоғам қайраткері	депутат VIII созыва Мажилиса Парламента Республики Казахстан, государственный и общественный деятель	APPROVED	machine:google-translate	Approved by user
303	государственный и общественный деятель, заместитель председателя Национальной комиссии по делам женщин и семейно-демографической политике при Президенте Республики Казахстан	мемлекет және қоғам қайраткері, Әйелдер істері және әйелдер істері жөніндегі ұлттық комиссия төрағасының орынбасары Қазақстан Республикасы Президентінің жанындағы саясат	государственный и общественный деятель, заместитель председателя Национальной комиссии по делам женщин и семейно-демографической политике при Президенте Республики Казахстан	APPROVED	machine:google-translate	Approved by user
304	депутат VIII созыва Мажилиса Парламента Республики Казахстан, руководитель молодежного крыла ОО «Народная партия Казахстана»	Қазақстан Республикасы Парламенті Мәжілісінің VIII сайланған депутаты, «Қазақстан Халық партиясы» ҮЕҰ жастар қанатының жетекшісі	депутат VIII созыва Мажилиса Парламента Республики Казахстан, руководитель молодежного крыла ОО «Народная партия Казахстана»	APPROVED	machine:google-translate	Approved by user
305	менеджер Центрального аппарата ОО «Народная партия Казахстана»	Қазақстан Халық партиясы ҮЕҰ Орталық аппаратының меңгерушісі	менеджер Центрального аппарата ОО «Народная партия Казахстана»	APPROVED	machine:google-translate	Approved by user
306	председатель Мангистауского областного филиала ОО «Народная партия Казахстана»	«Қазақстан Халық партиясы» ҚБ Маңғыстау облыстық филиалының төрағасы	председатель Мангистауского областного филиала ОО «Народная партия Казахстана»	APPROVED	machine:google-translate	Approved by user
307	преподаватель в КазНПУ имени Абая	Абай атындағы ҚазҰПУ оқытушысы	преподаватель в КазНПУ имени Абая	APPROVED	machine:google-translate	Approved by user
308	председатель Шымкентского городского филиала ОО «Народная партия Казахстана»	"""Қазақстан Халық партиясы"" ҚБ Шымкент қалалық филиалының төрағасы"	председатель Шымкентского городского филиала ОО «Народная партия Казахстана»	APPROVED	machine:google-translate	Approved by user
309	директор ТОО «NK-CARGO»	"""NK-CARGO"" ЖШС директоры"	директор ТОО «NK-CARGO»	APPROVED	machine:google-translate	Approved by user
310	председатель ОО «Народная партия Казахстана»	"""Қазақстан Халық партиясы"" ҮЕҰ төрағасы"	председатель ОО «Народная партия Казахстана»	APPROVED	machine:google-translate	Approved by user
311	руководитель управления тарифообразования и методологии оплаты медицинских услуг Министерства здравоохранения Республики Казахстан	Қазақстан Республикасы Денсаулық сақтау министрлігі Медициналық қызмет көрсету тарифтерін белгілеу және төлеу әдістемесі басқармасының басшысы	руководитель управления тарифообразования и методологии оплаты медицинских услуг Министерства здравоохранения Республики Казахстан	APPROVED	machine:google-translate	Approved by user
312	председатель Западно-Казахстанского областного филиала «ОСДП»	«ДСДП» Батыс Қазақстан облыстық филиалының төрағасы	председатель Западно-Казахстанского областного филиала «ОСДП»	APPROVED	machine:google-translate	Approved by user
313	Министерство юстиции Республики Казахстан, директор департамента по работе с персоналом	Қазақстан Республикасы Әділет министрлігі, Кадрлар департаментінің директоры	Министерство юстиции Республики Казахстан, директор департамента по работе с персоналом	APPROVED	machine:google-translate	Approved by user
314	исполняющий обязанности председателя Актюбинского областного филиала «ОСДП»	«ҚДП» Ақтөбе облыстық филиалы төрағасының м.а.	исполняющий обязанности председателя Актюбинского областного филиала «ОСДП»	APPROVED	machine:google-translate	Approved by user
315	руководитель женского крыла Акмолинского областного филиала «ОСДП»	ҚДП Ақмола облыстық филиалы әйелдер қанатының жетекшісіp	руководитель женского крыла Акмолинского областного филиала «ОСДП»	APPROVED	machine:google-translate	Approved by user
316	журналист центрального аппарата «ОСДП»	"""ЖҚДП"" орталық аппаратының журналисі"	журналист центрального аппарата «ОСДП»	APPROVED	machine:google-translate	Approved by user
317	председатель Карагандинского областного филиала «ОСДП»	"Қарағанды ​​облыстық филиалының ""ЖҚДП"" төрағасы"	председатель Карагандинского областного филиала «ОСДП»	APPROVED	machine:google-translate	Approved by user
318	руководитель женского крыла Столичного филиала «ОСДП»	«ҚДП» Елордалық филиалы әйелдер қанатының жетекшісі	руководитель женского крыла Столичного филиала «ОСДП»	APPROVED	machine:google-translate	Approved by user
319	руководитель молодежного крыла Жамбылского областного филиала «ОСДП»	«ЖСДП» Жамбыл облыстық филиалы жастар қанатының жетекшісі	руководитель молодежного крыла Жамбылского областного филиала «ОСДП»	APPROVED	machine:google-translate	Approved by user
320	специалист «ОСДП» по Алматинской области	«ҚДП» Алматы облысы бойынша маманы	специалист «ОСДП» по Алматинской области	APPROVED	machine:google-translate	Approved by user
321	председатель национальной ассоциации «AUTISM KAZAKHSTAN»	"""AUTISM KAZAKHSTAN"" ұлттық бірлестігінің төрағасы"	председатель национальной ассоциации «AUTISM KAZAKHSTAN»	APPROVED	machine:google-translate	Approved by user
322	председатель Туркестанского областного филиала «ОСДП»	"""ОСДП"" Түркістан облыстық филиалының төрағасы"	председатель Туркестанского областного филиала «ОСДП»	APPROVED	machine:google-translate	Approved by user
323	председатель Жамбылского областного филиала «ОСДП»	«ЖҚДП» Жамбыл облыстық филиалының төрағасы	председатель Жамбылского областного филиала «ОСДП»	APPROVED	machine:google-translate	Approved by user
324	председатель Костанайского областного филиала «ОСДП»	«ЖҚДП» Қостанай облыстық филиалының төрағасы	председатель Костанайского областного филиала «ОСДП»	APPROVED	machine:google-translate	Approved by user
325	председатель Павлодарского областного филиала «ОСДП»	«ЖҚДП» Павлодар облыстық филиалының төрағасы	председатель Павлодарского областного филиала «ОСДП»	APPROVED	machine:google-translate	Approved by user
326	исполнительный секретарь центрального аппарата «ОСДП»	"""ЖҚДП"" Орталық аппаратының жауапты хатшысы"	исполнительный секретарь центрального аппарата «ОСДП»	APPROVED	machine:google-translate	Approved by user
327	председатель Акмолинского областного филиала «ОСДП»	"""ЖҚДП"" Ақмола облыстық филиалының төрағасы"	председатель Акмолинского областного филиала «ОСДП»	APPROVED	machine:google-translate	Approved by user
328	председатель Восточно-Казахстанского областного филиала «ОСДП»	«ЖСДП» Шығыс Қазақстан облыстық филиалының төрағасы	председатель Восточно-Казахстанского областного филиала «ОСДП»	APPROVED	machine:google-translate	Approved by user
329	председатель Атырауского областного филиала «ОСДП»	«ЖҚДП» Атырау облыстық филиалының төрағасы	председатель Атырауского областного филиала «ОСДП»	APPROVED	machine:google-translate	Approved by user
330	аналитик Столичного филиала «ОСДП»	«ЖСДП» Астаналық филиалының талдаушысы	аналитик Столичного филиала «ОСДП»	APPROVED	machine:google-translate	Approved by user
331	адвокат коллегии адвокатов Восточно-Казахстанской области, член президиума Республиканской коллегии адвокатов	Шығыс Қазақстан облысы адвокаттар алқасының заңгері, Республикалық адвокаттар алқасы президиумының мүшесі	адвокат коллегии адвокатов Восточно-Казахстанской области, член президиума Республиканской коллегии адвокатов	APPROVED	machine:google-translate	Approved by user
332	руководитель партийного проекта PANA	ПАНА партия жобасының жетекшісі	руководитель партийного проекта PANA	APPROVED	machine:google-translate	Approved by user
333	председатель филиала области Жетысу «ОСДП»	«ЖҚДП» Жетісу облысы филиалының төрағасы	председатель филиала области Жетысу «ОСДП»	APPROVED	machine:google-translate	Approved by user
334	исполняющий обязанности председателя Мангистауского областного филиала «ОСДП»	МАИ-нің облыстық филиалының төрағасы «ЖСДП»	исполняющий обязанности председателя Мангистауского областного филиала «ОСДП»	APPROVED	machine:google-translate	Approved by user
335	руководитель центрального аппарата «ОСДП», председатель молодежного крыла	ЖСДП орталық аппаратының басшысы, жастар қанатының төрағасы	руководитель центрального аппарата «ОСДП», председатель молодежного крыла	APPROVED	machine:google-translate	Approved by user
336	председатель Алматинского областного филиала «ОСДП»	«ЖСДП» Алматы облыстық филиалының төрағасы	председатель Алматинского областного филиала «ОСДП»	APPROVED	machine:google-translate	Approved by user
337	исполняющий обязанности председателя Шымкентского городского филиала «ОСДП»	«ЖСДП» Шымкент қалалық филиалы төрағасының м.а.	исполняющий обязанности председателя Шымкентского городского филиала «ОСДП»	APPROVED	machine:google-translate	Approved by user
338	председатель партии «ОСДП», Депутат Мажилиса Парламента VIII созыва	«ЖСДП» партиясының төрағасы, Мәжілістің VIII сайланған депутаты	председатель партии «ОСДП», Депутат Мажилиса Парламента VIII созыва	APPROVED	machine:google-translate	Approved by user
339	руководитель Женского крыла «ОСДП», Депутат Мажилиса Парламента VIII созыва	«ЖСДП» Әйелдер қанатының жетекшісі, Мәжілістің VIII шақырылымының депутаты	руководитель Женского крыла «ОСДП», Депутат Мажилиса Парламента VIII созыва	APPROVED	machine:google-translate	Approved by user
340	руководитель молодежного крыла «ОСДП», Депутат Мажилиса Парламента VIII созыва	ҚР Парламенті Мәжілісінің депутаты, VIII сайланған Парламент Мәжілісі	руководитель молодежного крыла «ОСДП», Депутат Мажилиса Парламента VIII созыва	APPROVED	machine:google-translate	Approved by user
341	заместитель председателя партии «ОСДП»	ЖСДП партиясы төрағасының орынбасары	заместитель председателя партии «ОСДП»	APPROVED	machine:google-translate	Approved by user
342	председатель филиала «ОСДП» области Абай	ЖҚДП Абай аудандық филиалының төрағасы	председатель филиала «ОСДП» области Абай	APPROVED	machine:google-translate	Approved by user
343	эксперт Столичного филиала «ОСДП» по жилищно-коммунальному хозяйству и объединению собственников имущества	Тұрғын үй-коммуналдық шаруашылық және меншік иелері қауымдастығы «ЖҚД» Елордалық филиалының сарапшысы	эксперт Столичного филиала «ОСДП» по жилищно-коммунальному хозяйству и объединению собственников имущества	APPROVED	machine:google-translate	Approved by user
344	исполнительный директор ТОО «Казахмыс Барлау»	Қазақмыс Барлау ЖШС атқарушы директоры	исполнительный директор ТОО «Казахмыс Барлау»	APPROVED	machine:google-translate	Approved by user
345	президент Казахстанской ассоциации IT-компаний	Қазақстандық IT-компаниялар қауымдастығының президенті	президент Казахстанской ассоциации IT-компаний	APPROVED	machine:google-translate	Approved by user
346	заведующий Общим отделом Администрации Президента Республики Казахстан	Қазақстан Республикасы Президенті Әкімшілігінің Жалпы бөлімінің меңгерушісі	заведующий Общим отделом Администрации Президента Республики Казахстан	APPROVED	machine:google-translate	Approved by user
347	президент Фонда Президентских инициатив «Dara»	Президенттік бастамаларды қолдау «Дара» қорының президенті	президент Фонда Президентских инициатив «Dara»	APPROVED	machine:google-translate	Approved by user
348	депутат маслихата города Астаны	Астана қаласы мәслихатының депутаты	депутат маслихата города Астаны	APPROVED	machine:google-translate	Approved by user
349	депутат Мажилиса Парламента РК VIII созыва, преподаватель МNU	VIII сайланған Қазақстан Республикасы Парламенті Мәжілісінің депутаты, МҰУ оқытушысы	депутат Мажилиса Парламента РК VIII созыва, преподаватель МNU	APPROVED	machine:google-translate	Approved by user
350	экс-начальник управления прокуратуры по городу Астана	Астана қаласы прокуратурасының бұрынғы басшысы	экс-начальник управления прокуратуры по городу Астана	APPROVED	machine:google-translate	Approved by user
351	заместитель исполнительного директора Некоммерческая организация «Atomic Industry Development Association Non-profit Organisation»	"Deputy Executive Director of the Non-Profit Organization ""Atomic Industry Development Association Non-profit Organization"""	заместитель исполнительного директора Некоммерческая организация «Atomic Industry Development Association Non-profit Organisation»	APPROVED	machine:google-translate	Approved by user
352	заместитель управляющего Управления делами Президента Республики Казахстан	Deputy Manager of the Administration of the President of the Republic of Kazakhstan	заместитель управляющего Управления делами Президента Республики Казахстан	APPROVED	machine:google-translate	Approved by user
353	председатель маслихата Жамбылского района Алматинской области	Chairman of the Maslikhat of Zhambyl District, Almaty Region	председатель маслихата Жамбылского района Алматинской области	APPROVED	machine:google-translate	Approved by user
354	председатель «Social Innovation Hub»	«Әлеуметтік инновациялық хаб» төрағасы	председатель «Social Innovation Hub»	APPROVED	machine:google-translate	Approved by user
355	председатель РОО ПОФ «Казахстанский отраслевой профессиональный союз малого и среднего бизнеса»	«Қазақстандық шағын және орта бизнес кәсіподақ кәсіподағының» РОО ПОФ төрағасы	председатель РОО ПОФ «Казахстанский отраслевой профессиональный союз малого и среднего бизнеса»	APPROVED	machine:google-translate	Approved by user
356	независимый директор, член комитета АО «Самрук-Казына»	тәуелсіз директор, «Самұрық-Қазына» АҚ комитетінің мүшесі	независимый директор, член комитета АО «Самрук-Казына»	APPROVED	machine:google-translate	Approved by user
357	заместитель министра обороны Республики Казахстан	Қазақстан Республикасы Қорғаныс министрінің орынбасары	заместитель министра обороны Республики Казахстан	APPROVED	machine:google-translate	Approved by user
358	директор РГП «Национальный институт интеллектуальной собственности» Министерства юстиции Республики Казахстан	Қазақстан Республикасы Әділет министрлігі «Ұлттық зияткерлік меншік институты» РМК директоры	директор РГП «Национальный институт интеллектуальной собственности» Министерства юстиции Республики Казахстан	APPROVED	machine:google-translate	Approved by user
359	учредитель медицинского центра «Жан-Ер», доцент НАО «Медицинский университет Семей»	«Жан-Ер» медициналық орталығының негізін қалаушы, «Семей медицина университеті» КЕАҚ доценті	учредитель медицинского центра «Жан-Ер», доцент НАО «Медицинский университет Семей»	APPROVED	machine:google-translate	Approved by user
360	депутат Мажилиса Парламента Республики Казахстан VIII созыва	VIII сайланған Қазақстан Республикасы Парламенті Мәжілісінің депутаты	депутат Мажилиса Парламента Республики Казахстан VIII созыва	APPROVED	machine:google-translate	Approved by user
361	директор Института анализа и прогнозирования	Талдау және болжау институтының директоры	директор Института анализа и прогнозирования	APPROVED	machine:google-translate	Approved by user
362	журналист телеканала «Jibek Joly/Silk Way» РГП «Телерадиокомплекс Президента Республики Казахстан»	«Қазақстан Республикасы Президентінің Телерадиокешені» РМК «Жібек жолы/Жібек жолы» телеарнасының журналисі	журналист телеканала «Jibek Joly/Silk Way» РГП «Телерадиокомплекс Президента Республики Казахстан»	APPROVED	machine:google-translate	Approved by user
363	пресс-секретарь МОО «Жаңа адамдар»	«Жаңа адамдар» қалалық қоғамдық ұйымының баспасөз хатшысы	пресс-секретарь МОО «Жаңа адамдар»	APPROVED	machine:google-translate	Approved by user
364	директор МОО «Жаңа адамдар»	«Жаңа адамдар» қалалық қоғамдық ұйымының директоры	директор МОО «Жаңа адамдар»	APPROVED	machine:google-translate	Approved by user
365	проректор института Алихана Бокейхана	Әлихан Бөкейхан атындағы институттың проректоры	проректор института Алихана Бокейхана	APPROVED	machine:google-translate	Approved by user
366	председатель маслихата области Абай	Абай аудандық мәслихатының төрағасы	председатель маслихата области Абай	APPROVED	machine:google-translate	Approved by user
367	директор ОЮЛ «Союз кризисных центров»	«Дағдарыс орталықтары одағы» ММ директоры	директор ОЮЛ «Союз кризисных центров»	APPROVED	machine:google-translate	Approved by user
368	вице-министр искусственного интеллекта и цифрового развития Республики Казахстан	Қазақстан Республикасы Жасанды интеллект және цифрлық даму вице-министрі	вице-министр искусственного интеллекта и цифрового развития Республики Казахстан	APPROVED	machine:google-translate	Approved by user
369	директор ТОО «Ер-Ару»	Ер-Ару ЖШС директоры	директор ТОО «Ер-Ару»	APPROVED	machine:google-translate	Approved by user
370	шеф-редактор Агентства «Хабар», телеканала «24KZ»	24KZ телеарнасы «Хабар» агенттігінің бас редакторы	шеф-редактор Агентства «Хабар», телеканала «24KZ»	APPROVED	machine:google-translate	Approved by user
371	руководитель Управления образования Акмолинской области	Ақмола облысының білім басқармасының басшысы	руководитель Управления образования Акмолинской области	APPROVED	machine:google-translate	Approved by user
